epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,50362.6,1.12056,0.78676,1.18787,0.79094,0.76696,0.82592,0.53132,0.92251,0.60229,1.17133,0.000675546,0.000675546,0.000675546
43,51559,1.11592,0.78629,1.18885,0.79767,0.76415,0.82658,0.532,0.92146,0.6007,1.17069,0.00066191,0.00066191,0.00066191
44,52752.7,1.10561,0.77001,1.18305,0.80888,0.75349,0.82576,0.53194,0.9209,0.59988,1.17035,0.000648164,0.000648164,0.000648164
45,53944.4,1.09943,0.76605,1.17844,0.81826,0.74899,0.82532,0.53241,0.92013,0.59982,1.1699,0.000634322,0.000634322,0.000634322
46,55136.8,1.09801,0.75411,1.17499,0.83133,0.74098,0.82439,0.53194,0.91997,0.59958,1.17025,0.000620396,0.000620396,0.000620396
47,56329.1,1.09176,0.75362,1.16758,0.81193,0.75462,0.82445,0.53155,0.92037,0.59829,1.17112,0.0006064,0.0006064,0.0006064
48,57520.4,1.08687,0.74061,1.16605,0.81058,0.76011,0.82578,0.53202,0.92032,0.59773,1.17157,0.000592349,0.000592349,0.000592349
49,58711.6,1.07787,0.73595,1.15861,0.81019,0.76332,0.82614,0.53211,0.91995,0.59708,1.17194,0.000578256,0.000578256,0.000578256
50,59903.5,1.06889,0.72747,1.15906,0.81415,0.75833,0.82619,0.53251,0.91993,0.59672,1.17238,0.000564135,0.000564135,0.000564135
51,61100.3,1.07212,0.72403,1.15815,0.81587,0.76088,0.82499,0.53177,0.9194,0.59714,1.17223,0.00055,0.00055,0.00055
52,62289.6,1.05898,0.71943,1.15878,0.81712,0.76153,0.82489,0.53191,0.91945,0.59759,1.17252,0.000535865,0.000535865,0.000535865
53,63461,1.05741,0.7124,1.15024,0.82092,0.76056,0.82411,0.53187,0.919,0.59777,1.17254,0.000521744,0.000521744,0.000521744
54,64694,1.05203,0.70824,1.14892,0.81866,0.76641,0.82444,0.53171,0.91895,0.59725,1.17289,0.000507651,0.000507651,0.000507651
55,65870.3,1.04486,0.69877,1.14256,0.81626,0.76605,0.82228,0.53059,0.91884,0.59632,1.17289,0.0004936,0.0004936,0.0004936
56,67048.2,1.03997,0.69146,1.13879,0.81648,0.76516,0.82132,0.53136,0.91881,0.59566,1.17319,0.000479604,0.000479604,0.000479604
57,68332.4,1.02984,0.68313,1.13563,0.8229,0.75909,0.82218,0.53159,0.91846,0.5957,1.1732,0.000465678,0.000465678,0.000465678
58,69528.6,1.02941,0.68169,1.13235,0.8232,0.75919,0.82212,0.53145,0.91786,0.59513,1.17281,0.000451836,0.000451836,0.000451836
59,70738.5,1.02451,0.67834,1.13194,0.82354,0.75551,0.82116,0.53187,0.91774,0.59443,1.17306,0.00043809,0.00043809,0.00043809
60,71972.2,1.0192,0.67278,1.12651,0.81797,0.7565,0.8211,0.53248,0.91744,0.59364,1.17305,0.000424454,0.000424454,0.000424454
61,73218.7,1.01754,0.66727,1.12736,0.81915,0.75883,0.8211,0.53317,0.91751,0.59324,1.17364,0.000410942,0.000410942,0.000410942
62,74471.9,1.00929,0.66241,1.12179,0.81636,0.75783,0.82035,0.53226,0.91726,0.59282,1.17376,0.000397568,0.000397568,0.000397568
63,75694,1.0018,0.65761,1.11863,0.81834,0.75647,0.82022,0.53167,0.91735,0.59394,1.17421,0.000384344,0.000384344,0.000384344
64,76931.8,0.99688,0.65013,1.11712,0.81416,0.75844,0.81933,0.53173,0.91725,0.59353,1.17463,0.000371283,0.000371283,0.000371283
65,78180.1,0.99415,0.64787,1.11229,0.81328,0.76027,0.81967,0.53138,0.91752,0.59385,1.17545,0.000358399,0.000358399,0.000358399
66,79367.4,0.98742,0.64617,1.11209,0.81405,0.7607,0.81924,0.53136,0.91816,0.59397,1.17664,0.000345704,0.000345704,0.000345704
67,80539.9,0.98208,0.6366,1.10656,0.81236,0.75889,0.81861,0.52977,0.91825,0.5931,1.17731,0.000333211,0.000333211,0.000333211
68,81718.7,0.98103,0.63805,1.1097,0.81933,0.75477,0.81883,0.5303,0.91801,0.59303,1.17781,0.000320931,0.000320931,0.000320931
69,82904.4,0.9727,0.63095,1.10678,0.81955,0.75638,0.81838,0.53046,0.91832,0.5923,1.17889,0.000308878,0.000308878,0.000308878
70,84129.1,0.97271,0.62652,1.10028,0.81909,0.75838,0.81816,0.53036,0.91785,0.59248,1.17918,0.000297062,0.000297062,0.000297062
71,85322.2,0.96761,0.62511,1.10071,0.82181,0.75204,0.8185,0.53021,0.91797,0.59287,1.18006,0.000285497,0.000285497,0.000285497
72,86546.5,0.95723,0.61372,1.0975,0.81946,0.75679,0.81795,0.52972,0.91755,0.59328,1.18062,0.000274192,0.000274192,0.000274192
73,87769.9,0.95792,0.61171,1.09487,0.82059,0.75447,0.81781,0.52984,0.91758,0.59349,1.18163,0.000263159,0.000263159,0.000263159
74,88928.7,0.95092,0.60597,1.08985,0.82222,0.75404,0.81812,0.53026,0.91757,0.59398,1.18274,0.00025241,0.00025241,0.00025241
75,90176.2,0.95029,0.6084,1.09029,0.82514,0.75078,0.81786,0.52962,0.91732,0.59405,1.18348,0.000241954,0.000241954,0.000241954
76,91399.1,0.94711,0.60543,1.08762,0.82739,0.7492,0.81768,0.53016,0.91757,0.59412,1.18491,0.000231802,0.000231802,0.000231802
77,92663.1,0.94152,0.60006,1.08545,0.82393,0.75034,0.81675,0.52997,0.91804,0.59452,1.18625,0.000221964,0.000221964,0.000221964
78,93872.9,0.94116,0.59691,1.08402,0.82381,0.75159,0.81711,0.53004,0.9183,0.59504,1.18724,0.00021245,0.00021245,0.00021245
79,95079.3,0.93358,0.59246,1.08014,0.82333,0.7546,0.81812,0.53025,0.91855,0.59564,1.18828,0.000203269,0.000203269,0.000203269
80,96311.3,0.93685,0.59392,1.08001,0.82353,0.75408,0.81754,0.53026,0.91893,0.59643,1.18962,0.00019443,0.00019443,0.00019443
81,97515.8,0.92562,0.5882,1.07705,0.82347,0.75383,0.81736,0.52987,0.9191,0.59627,1.19058,0.000185942,0.000185942,0.000185942
