epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27433.4,1.11959,1.29888,1.45686,0.77391,0.71289,0.77373,0.46383,1.36229,1.07343,1.68772,0.000675546,0.000675546,0.000675546
43,28064,1.10847,1.28923,1.44487,0.74478,0.7324,0.78205,0.46922,1.35825,1.07893,1.6859,0.00066191,0.00066191,0.00066191
44,28678.1,1.11089,1.27136,1.44764,0.77562,0.70465,0.77428,0.45712,1.36321,1.0747,1.70487,0.000648164,0.000648164,0.000648164
45,29287.5,1.09207,1.24574,1.43632,0.78579,0.69242,0.78141,0.46195,1.3514,1.052,1.69912,0.000634322,0.000634322,0.000634322
46,29917.1,1.08762,1.24611,1.4345,0.79225,0.7088,0.78808,0.47009,1.35752,1.03894,1.69675,0.000620396,0.000620396,0.000620396
47,30560.1,1.08284,1.22478,1.4301,0.79327,0.71833,0.78954,0.46926,1.34358,1.06074,1.69169,0.0006064,0.0006064,0.0006064
48,31181.4,1.07161,1.20555,1.41728,0.80592,0.68859,0.78977,0.47183,1.35814,1.04771,1.70587,0.000592349,0.000592349,0.000592349
49,31825.7,1.06619,1.20372,1.42152,0.83555,0.67876,0.78609,0.4712,1.36454,1.04483,1.7114,0.000578256,0.000578256,0.000578256
50,32448.6,1.05776,1.16756,1.40876,0.76276,0.72696,0.78532,0.46936,1.36384,1.05619,1.7117,0.000564135,0.000564135,0.000564135
51,33077.9,1.04097,1.16871,1.40014,0.75673,0.7423,0.7916,0.47206,1.36701,1.0492,1.72645,0.00055,0.00055,0.00055
52,33714.5,1.03981,1.1399,1.38834,0.81959,0.70102,0.79184,0.47071,1.37254,1.04158,1.73036,0.000535865,0.000535865,0.000535865
53,34342.9,1.0376,1.14538,1.3952,0.78849,0.70847,0.78658,0.46705,1.36991,1.04105,1.72608,0.000521744,0.000521744,0.000521744
54,34968.9,1.02765,1.12743,1.38807,0.79301,0.7297,0.7842,0.46567,1.37151,1.04006,1.73492,0.000507651,0.000507651,0.000507651
55,35595.2,1.01642,1.09514,1.37566,0.79085,0.72285,0.78395,0.46457,1.37333,1.04156,1.7427,0.0004936,0.0004936,0.0004936
56,36220,1.00335,1.09227,1.37165,0.81334,0.71192,0.78105,0.46176,1.37958,1.05807,1.75049,0.000479604,0.000479604,0.000479604
57,36845.7,1.00017,1.08616,1.36357,0.79696,0.73071,0.78578,0.46367,1.37686,1.05894,1.74738,0.000465678,0.000465678,0.000465678
58,37472.1,0.99561,1.06887,1.36529,0.81796,0.706,0.7853,0.46363,1.37592,1.0609,1.75445,0.000451836,0.000451836,0.000451836
59,38099.3,0.99116,1.05274,1.36048,0.783,0.74426,0.78907,0.46321,1.37511,1.06568,1.76115,0.00043809,0.00043809,0.00043809
60,38723.8,0.97725,1.04404,1.34923,0.77993,0.74565,0.78706,0.4628,1.38051,1.0628,1.76886,0.000424454,0.000424454,0.000424454
61,39349.4,0.97851,1.04441,1.34867,0.77837,0.74096,0.78509,0.45999,1.38384,1.05972,1.77249,0.000410942,0.000410942,0.000410942
62,39974.5,0.9695,1.02916,1.34351,0.77996,0.72242,0.78201,0.46013,1.3876,1.06167,1.77968,0.000397568,0.000397568,0.000397568
63,40599.8,0.95343,1.00626,1.33149,0.77989,0.73087,0.78289,0.46003,1.39713,1.06263,1.79215,0.000384344,0.000384344,0.000384344
64,41225.7,0.95212,1.00841,1.3319,0.78787,0.72613,0.78436,0.46006,1.39862,1.06714,1.79528,0.000371283,0.000371283,0.000371283
65,41850.9,0.94005,0.99789,1.32408,0.79183,0.71522,0.78033,0.45882,1.40049,1.06889,1.80171,0.000358399,0.000358399,0.000358399
66,42476.1,0.93593,0.98226,1.31691,0.79624,0.72467,0.7803,0.45876,1.40173,1.06271,1.80576,0.000345704,0.000345704,0.000345704
67,43101.9,0.93779,0.97355,1.32002,0.80552,0.71838,0.7785,0.45819,1.40319,1.06324,1.81188,0.000333211,0.000333211,0.000333211
68,43727.3,0.92428,0.96042,1.31102,0.8038,0.72088,0.77816,0.45811,1.40534,1.06091,1.81829,0.000320931,0.000320931,0.000320931
69,44352.6,0.91765,0.95694,1.3081,0.7783,0.73783,0.77768,0.45623,1.40772,1.06016,1.82515,0.000308878,0.000308878,0.000308878
70,44978.1,0.91594,0.94815,1.30373,0.77934,0.72876,0.77877,0.45682,1.40769,1.0603,1.8295,0.000297062,0.000297062,0.000297062
71,45603.8,0.90031,0.93898,1.29689,0.80326,0.70841,0.77842,0.45682,1.40861,1.06602,1.83312,0.000285497,0.000285497,0.000285497
