epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15302.4,0.32495,0.58069,0.84064,0.88257,0.7802,0.88048,0.85997,0.24497,0.35307,0.77065,0.000675546,0.000675546,0.000675546
43,15806.9,0.32769,0.57946,0.8427,0.87744,0.78147,0.88041,0.85983,0.24487,0.35429,0.77054,0.00066191,0.00066191,0.00066191
44,16202.3,0.32441,0.57118,0.8412,0.88583,0.77746,0.88006,0.85948,0.24494,0.35635,0.77054,0.000648164,0.000648164,0.000648164
45,16553.3,0.32005,0.5688,0.83915,0.87091,0.78488,0.87958,0.85877,0.24515,0.35859,0.77066,0.000634322,0.000634322,0.000634322
46,16885.7,0.3224,0.56071,0.83966,0.86757,0.78748,0.87923,0.85807,0.24524,0.35825,0.77073,0.000620396,0.000620396,0.000620396
47,17198.6,0.32556,0.56215,0.84006,0.86953,0.78672,0.87973,0.85813,0.24533,0.35971,0.77079,0.0006064,0.0006064,0.0006064
48,17518.2,0.32155,0.55243,0.83846,0.86217,0.78908,0.87892,0.85748,0.24506,0.36143,0.77073,0.000592349,0.000592349,0.000592349
49,17830.6,0.32258,0.55434,0.83832,0.86186,0.78965,0.87908,0.85774,0.24492,0.36464,0.77062,0.000578256,0.000578256,0.000578256
50,18155.6,0.31853,0.55031,0.83922,0.85276,0.79619,0.87875,0.85762,0.24465,0.36695,0.77049,0.000564135,0.000564135,0.000564135
51,18487.3,0.31948,0.54706,0.83977,0.85298,0.79476,0.87901,0.85774,0.24446,0.36822,0.7705,0.00055,0.00055,0.00055
52,18817.5,0.31698,0.54049,0.83986,0.85241,0.79719,0.87961,0.85844,0.24453,0.36933,0.77054,0.000535865,0.000535865,0.000535865
53,19137.3,0.31764,0.53868,0.83913,0.8344,0.81529,0.87966,0.85801,0.24458,0.37005,0.77041,0.000521744,0.000521744,0.000521744
54,19466.5,0.31782,0.53673,0.83987,0.83989,0.81216,0.87974,0.85843,0.24444,0.37175,0.77042,0.000507651,0.000507651,0.000507651
55,19810.1,0.31276,0.52852,0.83706,0.86118,0.79615,0.87962,0.85802,0.24448,0.37405,0.77045,0.0004936,0.0004936,0.0004936
56,20155.2,0.31726,0.52595,0.8381,0.83086,0.82244,0.8806,0.859,0.24433,0.37605,0.77043,0.000479604,0.000479604,0.000479604
57,20474,0.31402,0.52156,0.83829,0.85126,0.80246,0.88058,0.85823,0.24438,0.37745,0.77047,0.000465678,0.000465678,0.000465678
58,20792.4,0.31391,0.52143,0.83739,0.84095,0.8135,0.88094,0.85888,0.24426,0.37818,0.77041,0.000451836,0.000451836,0.000451836
59,21173.1,0.31281,0.52088,0.83764,0.84067,0.81831,0.88252,0.86063,0.24406,0.37909,0.77031,0.00043809,0.00043809,0.00043809
60,21489.9,0.3135,0.51726,0.83709,0.84509,0.81596,0.88243,0.86056,0.24399,0.37917,0.77032,0.000424454,0.000424454,0.000424454
