epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21023.9,1.32259,1.0295,1.22564,0.77788,0.72551,0.79083,0.49301,1.03253,0.72133,1.16756,0.000675546,0.000675546,0.000675546
43,21502.8,1.32308,1.03004,1.22522,0.7725,0.72465,0.79009,0.49315,1.03207,0.71961,1.16666,0.00066191,0.00066191,0.00066191
44,22005,1.31013,1.01453,1.21811,0.75869,0.73915,0.78863,0.4925,1.03172,0.71901,1.16655,0.000648164,0.000648164,0.000648164
45,22500.7,1.31407,1.02021,1.22168,0.75892,0.73841,0.78876,0.49209,1.03215,0.71784,1.1675,0.000634322,0.000634322,0.000634322
46,22990.1,1.31071,1.0088,1.21854,0.75378,0.74427,0.78873,0.4924,1.03204,0.71727,1.16772,0.000620396,0.000620396,0.000620396
47,23489.2,1.31121,1.01348,1.21566,0.75059,0.74453,0.78926,0.49238,1.03186,0.71769,1.16801,0.0006064,0.0006064,0.0006064
48,24050.8,1.3073,1.00004,1.21251,0.76315,0.73466,0.79021,0.49236,1.03156,0.71728,1.16799,0.000592349,0.000592349,0.000592349
49,24577.6,1.30316,1.00105,1.20877,0.75846,0.74089,0.78983,0.49156,1.03154,0.71694,1.1679,0.000578256,0.000578256,0.000578256
50,25061,1.29536,0.99693,1.20988,0.75541,0.74377,0.7896,0.49174,1.03139,0.71627,1.1679,0.000564135,0.000564135,0.000564135
51,25516.3,1.30128,0.9953,1.21049,0.75918,0.73553,0.78963,0.49117,1.03102,0.71471,1.16782,0.00055,0.00055,0.00055
52,26026,1.28687,0.99203,1.2084,0.75522,0.7425,0.79071,0.49154,1.0315,0.71401,1.16828,0.000535865,0.000535865,0.000535865
53,26589.5,1.29328,0.98909,1.20723,0.75176,0.74589,0.7906,0.49152,1.03184,0.71359,1.16883,0.000521744,0.000521744,0.000521744
54,27156.3,1.28951,0.98139,1.20683,0.75227,0.75336,0.79146,0.49103,1.03195,0.71308,1.16923,0.000507651,0.000507651,0.000507651
55,27633.2,1.28103,0.97645,1.20234,0.75437,0.75442,0.79328,0.49068,1.03203,0.71254,1.16968,0.0004936,0.0004936,0.0004936
56,28097.8,1.28217,0.97104,1.19906,0.7565,0.75706,0.79376,0.49228,1.03214,0.71199,1.16958,0.000479604,0.000479604,0.000479604
57,28554.7,1.27457,0.96557,1.19868,0.75192,0.76011,0.79398,0.49237,1.03197,0.71188,1.16969,0.000465678,0.000465678,0.000465678
58,29015.4,1.27213,0.96243,1.19444,0.75118,0.76045,0.79379,0.49241,1.03175,0.71209,1.16955,0.000451836,0.000451836,0.000451836
59,29477.3,1.26882,0.96166,1.19358,0.76808,0.74605,0.79333,0.49253,1.03173,0.71192,1.16973,0.00043809,0.00043809,0.00043809
60,29901.1,1.26393,0.95411,1.18764,0.76952,0.742,0.7929,0.49191,1.03155,0.71195,1.16969,0.000424454,0.000424454,0.000424454
61,30456.3,1.26673,0.95264,1.19057,0.77492,0.74215,0.79333,0.49236,1.03151,0.71198,1.16973,0.000410942,0.000410942,0.000410942
62,30847.5,1.25834,0.94784,1.18612,0.77013,0.74608,0.79362,0.49163,1.0315,0.71158,1.17016,0.000397568,0.000397568,0.000397568
63,31375.4,1.25353,0.94229,1.18589,0.76464,0.75011,0.79378,0.49172,1.03115,0.71126,1.17024,0.000384344,0.000384344,0.000384344
